1 1 0 19f3 05 6087488454199b7cc854 0000 0f 00000000000000000000
0 1 1 6873 06 02209434c66748113831 120d 08 27408204220a8851a444
0 1 1 9fc0 06 71a1411c4781c161b843 c885 08 0906c090001946e00feb
0 1 1 5508 06 5213110c1314168184aa b16f 08 2082e100631055a0d062
0 1 1 18d8 06 31947928f019161589a5 6bd4 07 03d45088ca828c5244a4
0 1 1 0cd3 05 6f81bfd9068a869f0a44 b5d0 08 5103d3042a0c42100c41
0 1 1 973e 05 66c8885ca6fbe875de54 1620 07 0806539591000800c062
0 1 1 3dc8 05 85485b8701c174172515 0843 07 21226081064618505ca9
0 1 1 6d74 05 f102036342f78414b877 cff9 07 b044423101404c330543
0 1 1 89a2 06 0804c0a94331103a3480 a84a 08 18923088a01054815c25
0 1 1 2fa4 06 7802399823120e46926d 06c7 08 0a60200464804ce49028
0 1 1 aec8 06 284f111d40508ec20ce8 9555 07 5a4c852caa104010d06c
0 1 1 b101 06 315be49402538f120567 0ae0 09 19080194a020a4408c00
0 1 1 9353 05 59dd54c2f885dc122d41 c40f 07 268232a8e0124209f881
0 1 1 b44b 06 12942510ed4902e6acf5 8808 07 604e0c50020802e21c43
0 1 1 8285 06 404860206091c660d088 ba6a 09 a8c22088210086110420
0 1 1 75fb 06 5384232da9598cba80c6 01d3 08 09c0429c312c80401cc5
0 1 1 2f1a 06 0ac4f12d0a60d9333839 f1b3 07 090eb28430403a120209
0 1 1 5f38 06 494a7804500d9e781e82 0f90 09 00c0010cc21100120261
0 1 1 ebaf 06 21c4638707500e468986 9f0e 08 0c401130210106128c42
0 1 1 d315 06 4214618d4f504a782004 915d 09 2841240c011900210822
0 1 1 4833 05 48de2be51878c4b38ef4 ec75 07 248c8188018b8e77046c
0 1 1 bf31 06 7b0cb5b6827283918943 486d 08 0184e180480054111a6b
0 1 1 2a5c 05 1c60a08ea772c722a976 0f23 08 61ce0588210306220533
0 1 1 5b9d 05 61d2a208c1b3c6d39301 98f5 07 295ad09c244a0ee0a4f4
0 1 1 28d4 06 204540dc270a02b3ac24 7c1d 09 050240cc080000721c43
0 1 1 4810 05 831038083504a2641c4c 9f96 07 439d408867288452a9cf
0 1 1 96d8 05 31cf431e5684d2541a6f 2d79 07 1db6d18c829184120a69
0 1 1 0c49 06 21e80c28910a003289e4 87c2 08 500600846109d20159a0
0 1 1 80de 06 8102740a87594c2414ec 930e 08 198c148043b044310906
0 1 1 c7ce 06 5a8c068c730904d0b4a2 c0cf 09 89401088000980108444
0 1 1 00b6 06 1ad0519b531082b418c2 6528 08 908c1154010102328c40
0 1 1 8406 06 13046234218d180128a6 dc1c 09 2106608843188631ec01
0 1 1 06a4 06 31023705b31a8d302201 7357 08 00842104840ab8108c82
0 1 1 6eed 06 496885b973628641a9d1 8c52 08 082c00ac630180360c61
0 1 1 e2c1 06 1acf332c22404440318a 22d0 07 6939213581389a30fc28
0 1 1 61a7 06 3f1cb308a350c7801df2 67dc 08 5946622787310ac30964
0 1 1 8531 05 883b19c9823292156897 8722 09 10c23244a11090101040
0 1 1 6251 07 3846a1002a00e0700806 28cb 08 080411282520c83380d1
0 1 1 42f6 06 620c108d451098a24c61 6801 09 05c22100801042111001
