1 1 0 19f3 04 6441e88820e918d6adca5129 0000 0f 000000000000000000000000
0 1 1 e873 05 05081241a2cc5fb20215b0a2 128d 08 0e20081010820481050c6044
0 1 1 9fc0 05 70d8290cf10e7cf02c1dc106 c885 07 04b1d80460001ca1a0048f59
0 1 1 5508 05 5114a20c702611f591182254 b12f 07 1cd09a102185041677068105
0 1 1 18d8 05 30d50e9133e01885825846ca 69d4 06 06044e0c60167d130f1e0205
0 1 1 0cd3 04 6fb076fad44c854193ec5909 b758 07 4c70bd344052022081086141
0 1 1 973e 04 63721082e28cfdea0f5ae967 5670 06 1041c528c8240441c111e188
0 1 1 3dc8 04 82a209b81c02c0ad02711469 0843 06 24e7d108030a3f250a032212
0 1 1 6d74 04 ec9080330d04f3b10249c1af 8fb9 06 ac01061983c23034064c04c6
0 1 1 89a2 05 0411190945072c7406a19200 a04a 07 24238700230014654f0ad0ca
0 1 1 6fa4 05 74104698c0850d03c968999b 06c7 07 0d17840c320a8c23234880d6
0 1 1 aec8 05 2423a20cf4c14c4358206351 9555 06 64d21255d2130c30040ac298
0 1 1 b301 05 30a6bb48a0444dd3a31c258f 0ae0 08 18724018b2c01c4889049000
0 1 1 9353 04 54e76a4e0bb086f6c2256502 c50f 06 1f00043904431161849fa105
0 1 1 b44b 05 1155054c839b48809c696369 8808 06 748201cad0010400dd20b0cb
0 1 1 8285 05 40324c01018194d18c0e820f ba6b 08 b080c4044041003243103041
0 1 1 75fb 05 4dc1052d569258c316a8130c 01db 07 04c0442ce06332114708f2cb
0 1 1 2f1a 05 05715f1154546065e635b071 f1b7 06 1093d61c10dd405cc21c1795
0 1 1 5f38 05 44a28e7c212006d78f84ea03 8f94 08 0480401053440c7004181ac2
0 1 1 ebaf 05 20e10d382c0e5403476435cc 8e0e 07 0ab0001940800071832061c6
0 1 1 d315 05 40f50d18551e50224e811049 935d 08 201023407041146004145046
0 1 1 4833 04 4c5785bb24317c6116386ba8 ec71 06 2dd34d24618189c29174a198
0 1 1 bf31 05 7592d65da9c56d30721c3506 487d 07 00a15d1801490c35010cba51
0 1 1 2a5c 04 161854086a8e7151a52545ad 0f23 07 6ce3435040440da1051c23e8
0 1 1 5b9d 04 64e493203342ade199347c43 98f5 06 5ce89a10a0ca40f2d60172e2
0 1 1 28d4 05 2421280af0ce0900563d6088 fc1d 08 0640480e701004100e18d104
0 1 1 4810 04 8173c58050a90638cd44e0d8 9f96 06 3d88290422092c318d2d97da
0 1 1 96d8 04 30d3a830e92b7e644b40c99e 2d79 06 1f5f1d24638278e108342a51
0 1 1 1c49 05 20da01c142220d00072c4749 87c2 07 4c010008418405344016e640
0 1 1 80de 05 8490cd4049cf58a30440b3d8 930e 07 18c3c3540147b821450c348d
0 1 1 c7ce 05 5953016861a60c711b0da283 e0cf 08 9c904208404008c002042109
0 1 1 00b6 05 1563cb18cd2610405540d305 6528 07 8042c30ec00204a108286100
0 1 1 8406 05 11710c21a0828a760015428d dc1c 08 20818b0851471c41861b7004
0 1 1 06a4 05 3090c67036a61d432600f802 7357 07 0041461012c8095dc210a243
0 1 1 6eed 05 449a1059c5a66151c8154723 cc52 07 141b400991870cc047585142
0 1 1 e2c1 05 1963a62d5084442108017614 22d8 07 30569310e3c0182482061047
0 1 1 61a7 05 3777163442c64c71b104f7a4 67dc 07 50d1ce1d3e0f20631b343608
0 1 1 c531 04 881ea29a464531448357422f 8722 08 1440862632021044430090c0
0 1 1 6659 06 34219410105504680e04400c 68cf 06 1812c312a1174c938d60243d
