token_slot,token_position,token_id,channel_slot,output_channel,setup_record,first_valid_record,final_record,rtl_hex,rtl_result,dew_software_reference,dew_absolute_error,dew_relative_error,within_tolerance,ideal_quantized_reference,ideal_relative_error,fp_term_count,skip_count,replace_count,overflow_count
0,128,22040,0,0,0,1,688,bd020000,-0.03173828125,-0.03173828125,0.0,0.0,True,-0.036041259765625,0.11939034716342083,64,0,1,0
0,128,22040,1,273,689,690,1377,bd6e0000,-0.05810546875,-0.05810546875,0.0,0.0,True,-0.062774658203125,0.0743801652892562,78,0,0,0
0,128,22040,2,546,1378,1379,2066,bd6c0000,-0.0576171875,-0.0576171875,0.0,0.0,True,-0.06103515625,0.056,80,0,0,0
0,128,22040,3,819,2067,2068,2755,bc3c0000,-0.011474609375,-0.011474609375,0.0,0.0,True,-0.012359619140625,0.07160493827160494,75,0,0,0
0,128,22040,4,1092,2756,2757,3444,bdae8000,-0.085205078125,-0.085205078125,0.0,0.0,True,-0.08197021484375,0.039463886820551006,76,0,0,0
0,128,22040,5,1365,3445,3446,4133,3ebd4000,0.36962890625,0.36962890625,0.0,0.0,True,0.37591552734375,0.016723494073713267,82,0,0,0
0,128,22040,6,1638,4134,4135,4822,3ea36000,0.319091796875,0.319091796875,0.0,0.0,True,0.32177734375,0.00834597875569044,75,0,0,0
0,128,22040,7,1911,4823,4824,5511,bda08000,-0.078369140625,-0.078369140625,0.0,0.0,True,-0.09295654296875,0.15692711753118843,81,0,0,0
0,128,22040,8,2184,5512,5513,6200,3e5a4000,0.213134765625,0.213134765625,0.0,0.0,True,0.216064453125,0.013559322033898305,82,0,0,0
0,128,22040,9,2457,6201,6202,6889,be2b0000,-0.1669921875,-0.1669921875,0.0,0.0,True,-0.164154052734375,0.01728945900725042,78,0,0,0
0,128,22040,10,2730,6890,6891,7578,bdb18000,-0.086669921875,-0.086669921875,0.0,0.0,True,-0.08551025390625,0.013561741613133477,70,0,0,0
0,128,22040,11,3003,7579,7580,8267,bd690000,-0.056884765625,-0.056884765625,0.0,0.0,True,-0.05181884765625,0.0977620730270907,76,0,0,0
0,128,22040,12,3276,8268,8269,8956,bb300000,-0.002685546875,-0.002685546875,0.0,0.0,True,-0.005035400390625,0.4666666666666667,76,0,0,0
0,128,22040,13,3549,8957,8958,9645,3dfb0000,0.12255859375,0.12255859375,0.0,0.0,True,0.123291015625,0.005940594059405941,77,0,1,0
0,128,22040,14,3822,9646,9647,10334,bc940000,-0.01806640625,-0.01806640625,0.0,0.0,True,-0.015380859375,0.1746031746031746,70,0,0,0
0,128,22040,15,4095,10335,10336,11023,be204000,-0.156494140625,-0.156494140625,0.0,0.0,True,-0.159149169921875,0.016682646212847554,73,0,1,0
1,129,4518,0,0,11024,11025,11712,3e130000,0.1435546875,0.1435546875,0.0,0.0,True,0.152130126953125,0.0563691073219659,101,0,0,0
1,129,4518,1,273,11713,11714,12401,be1bc000,-0.152099609375,-0.152099609375,0.0,0.0,True,-0.146728515625,0.036605657237936774,107,0,0,0
1,129,4518,2,546,12402,12403,13090,be1f8000,-0.15576171875,-0.15576171875,0.0,0.0,True,-0.15399169921875,0.011494252873563218,112,0,0,0
1,129,4518,3,819,13091,13092,13779,bd8e8000,-0.069580078125,-0.069580078125,0.0,0.0,True,-0.059326171875,0.1728395061728395,100,0,0,0
1,129,4518,4,1092,13780,13781,14468,3dfe8000,0.124267578125,0.124267578125,0.0,0.0,True,0.128814697265625,0.035299692016109926,105,0,0,0
1,129,4518,5,1365,14469,14470,15157,3ea32000,0.318603515625,0.318603515625,0.0,0.0,True,0.325439453125,0.021005251312828207,113,0,0,0
1,129,4518,6,1638,15158,15159,15846,3e4e0000,0.201171875,0.201171875,0.0,0.0,True,0.20269775390625,0.007527853056308341,108,0,0,0
1,129,4518,7,1911,15847,15848,16535,bdb88000,-0.090087890625,-0.090087890625,0.0,0.0,True,-0.081024169921875,0.11186440677966102,104,0,0,0
1,129,4518,8,2184,16536,16537,17224,3e760000,0.240234375,0.240234375,0.0,0.0,True,0.24658203125,0.02574257425742574,107,0,0,0
1,129,4518,9,2457,17225,17226,17913,be8ce000,-0.275146484375,-0.275146484375,0.0,0.0,True,-0.277099609375,0.007048458149779736,110,0,0,0
1,129,4518,10,2730,17914,17915,18602,3e8cc000,0.27490234375,0.27490234375,0.0,0.0,True,0.28167724609375,0.024052004333694473,108,0,0,0
1,129,4518,11,3003,18603,18604,19291,3d0d0000,0.034423828125,0.034423828125,0.0,0.0,True,0.03656005859375,0.05843071786310518,112,0,0,0
1,129,4518,12,3276,19292,19293,19980,bda18000,-0.078857421875,-0.078857421875,0.0,0.0,True,-0.074859619140625,0.05340399510803098,105,0,0,0
1,129,4518,13,3549,19981,19982,20669,bdad0000,-0.08447265625,-0.08447265625,0.0,0.0,True,-0.084320068359375,0.0018096272167933405,107,0,0,0
1,129,4518,14,3822,20670,20671,21358,3cbc0000,0.02294921875,0.02294921875,0.0,0.0,True,0.0146484375,0.5666666666666667,107,0,0,0
1,129,4518,15,4095,21359,21360,22047,be75a000,-0.2398681640625,-0.2398681640625,0.0,0.0,True,-0.242462158203125,0.010698552548772814,109,0,0,0
2,130,525,0,0,22048,22049,22736,bd8c8000,-0.068603515625,-0.068603515625,0.0,0.0,True,-0.07318115234375,0.06255212677231026,60,0,0,0
2,130,525,1,273,22737,22738,23425,bd9c0000,-0.076171875,-0.076171875,0.0,0.0,True,-0.076812744140625,0.00834326579261025,65,0,0,0
2,130,525,2,546,23426,23427,24114,bd570000,-0.052490234375,-0.052490234375,0.0,0.0,True,-0.042205810546875,0.24367317425885757,64,0,0,0
2,130,525,3,819,24115,24116,24803,3ead6000,0.338623046875,0.338623046875,0.0,0.0,True,0.339691162109375,0.003144371574880963,64,0,0,0
2,130,525,4,1092,24804,24805,25492,bd560000,-0.05224609375,-0.05224609375,0.0,0.0,True,-0.06732177734375,0.22393472348141433,67,0,0,0
