token_slot,token_position,token_id,channel_slot,output_channel,setup_cycle,first_valid_cycle,final_cycle,reference,baseline_rtl_hex,baseline_rtl,baseline_absolute_error,baseline_relative_error,bucketgetter_rtl_hex,bucketgetter_rtl,bucketgetter_absolute_error,bucketgetter_relative_error,bucketgetter_vs_baseline_absolute_difference,bucketgetter_vs_baseline_relative_difference,bucketgetter_within_reporting_tolerance
0,128,22040,0,0,0,1,688,-0.035003662109375,bd0f6000,-0.035003662109375,0.0,0.0,bd0f6000,-0.035003662109375,0.0,0.0,0.0,0.0,True
0,128,22040,1,273,689,690,1377,-0.01617431640625,bc848000,-0.01617431640625,0.0,0.0,bc848000,-0.01617431640625,0.0,0.0,0.0,0.0,True
0,128,22040,2,546,1378,1379,2066,-0.07415771484375,bd97e000,-0.07415771484375,0.0,0.0,bd97e000,-0.07415771484375,0.0,0.0,0.0,0.0,True
0,128,22040,3,819,2067,2068,2755,-0.069854736328125,bd8f1000,-0.069854736328125,0.0,0.0,bd8f1000,-0.069854736328125,0.0,0.0,0.0,0.0,True
0,128,22040,4,1092,2756,2757,3444,-0.1087646484375,bddec000,-0.1087646484375,0.0,0.0,bddec000,-0.1087646484375,0.0,0.0,0.0,0.0,True
0,128,22040,5,1365,3445,3446,4133,0.28570556640625,3e924800,0.28570556640625,0.0,0.0,3e924800,0.28570556640625,0.0,0.0,0.0,0.0,True
0,128,22040,6,1638,4134,4135,4822,0.309326171875,3e9e6000,0.309326171875,0.0,0.0,3e9e6000,0.309326171875,0.0,0.0,0.0,0.0,True
0,128,22040,7,1911,4823,4824,5511,-0.1553955078125,be1f2000,-0.1553955078125,0.0,0.0,be1f2000,-0.1553955078125,0.0,0.0,0.0,0.0,True
0,128,22040,8,2184,5512,5513,6200,0.1248779296875,3dffc000,0.1248779296875,0.0,0.0,3dffc000,0.1248779296875,0.0,0.0,0.0,0.0,True
0,128,22040,9,2457,6201,6202,6889,-0.1136474609375,bde8c000,-0.1136474609375,0.0,0.0,bde8c000,-0.1136474609375,0.0,0.0,0.0,0.0,True
0,128,22040,10,2730,6890,6891,7578,0.03680419921875,3d16c000,0.03680419921875,0.0,0.0,3d16c000,0.03680419921875,0.0,0.0,0.0,0.0,True
0,128,22040,11,3003,7579,7580,8267,-0.04437255859375,bd35c000,-0.04437255859375,0.0,0.0,bd35c000,-0.04437255859375,0.0,0.0,0.0,0.0,True
0,128,22040,12,3276,8268,8269,8956,0.045684814453125,3d3b2000,0.045684814453125,0.0,0.0,3d3b2000,0.045684814453125,0.0,0.0,0.0,0.0,True
0,128,22040,13,3549,8957,8958,9645,0.127532958984375,3e029800,0.127532958984375,0.0,0.0,3e029800,0.127532958984375,0.0,0.0,0.0,0.0,True
0,128,22040,14,3822,9646,9647,10334,-0.112030029296875,bde57000,-0.112030029296875,0.0,0.0,bde57000,-0.112030029296875,0.0,0.0,0.0,0.0,True
0,128,22040,15,4095,10335,10336,11023,-0.09100341796875,bdba6000,-0.09100341796875,0.0,0.0,bdba6000,-0.09100341796875,0.0,0.0,0.0,0.0,True
1,129,4518,0,0,11024,11025,11712,0.1434326171875,3e12e000,0.1434326171875,0.0,0.0,3e12e000,0.1434326171875,0.0,0.0,0.0,0.0,True
1,129,4518,1,273,11713,11714,12401,-0.249053955078125,be7f0800,-0.249053955078125,0.0,0.0,be7f0800,-0.249053955078125,0.0,0.0,0.0,0.0,True
1,129,4518,2,546,12402,12403,13090,-0.08575439453125,bdafa000,-0.08575439453125,0.0,0.0,bdafa000,-0.08575439453125,0.0,0.0,0.0,0.0,True
1,129,4518,3,819,13091,13092,13779,-0.09783935546875,bdc86000,-0.09783935546875,0.0,0.0,bdc86000,-0.09783935546875,0.0,0.0,0.0,0.0,True
1,129,4518,4,1092,13780,13781,14468,0.146209716796875,3e15b800,0.146209716796875,0.0,0.0,3e15b800,0.146209716796875,0.0,0.0,0.0,0.0,True
1,129,4518,5,1365,14469,14470,15157,0.41571044921875,3ed4d800,0.41571044921875,0.0,0.0,3ed4d800,0.41571044921875,0.0,0.0,0.0,0.0,True
1,129,4518,6,1638,15158,15159,15846,0.27593994140625,3e8d4800,0.27593994140625,0.0,0.0,3e8d4800,0.27593994140625,0.0,0.0,0.0,0.0,True
1,129,4518,7,1911,15847,15848,16535,-0.11724853515625,bdf02000,-0.11724853515625,0.0,0.0,bdf02000,-0.11724853515625,0.0,0.0,0.0,0.0,True
1,129,4518,8,2184,16536,16537,17224,0.230712890625,3e6c4000,0.230712890625,0.0,0.0,3e6c4000,0.230712890625,0.0,0.0,0.0,0.0,True
1,129,4518,9,2457,17225,17226,17913,-0.274017333984375,be8c4c00,-0.274017333984375,0.0,0.0,be8c4c00,-0.274017333984375,0.0,0.0,0.0,0.0,True
1,129,4518,10,2730,17914,17915,18602,0.26116943359375,3e85b800,0.26116943359375,0.0,0.0,3e85b800,0.26116943359375,0.0,0.0,0.0,0.0,True
1,129,4518,11,3003,18603,18604,19291,-0.031158447265625,bcff4000,-0.031158447265625,0.0,0.0,bcff4000,-0.031158447265625,0.0,0.0,0.0,0.0,True
1,129,4518,12,3276,19292,19293,19980,-0.16656494140625,be2a9000,-0.16656494140625,0.0,0.0,be2a9000,-0.16656494140625,0.0,0.0,0.0,0.0,True
1,129,4518,13,3549,19981,19982,20669,-0.0791015625,bda20000,-0.0791015625,0.0,0.0,bda20000,-0.0791015625,0.0,0.0,0.0,0.0,True
1,129,4518,14,3822,20670,20671,21358,-0.117645263671875,bdf0f000,-0.117645263671875,0.0,0.0,bdf0f000,-0.117645263671875,0.0,0.0,0.0,0.0,True
1,129,4518,15,4095,21359,21360,22047,-0.192291259765625,be44e800,-0.192291259765625,0.0,0.0,be44e800,-0.192291259765625,0.0,0.0,0.0,0.0,True
2,130,525,0,0,22048,22049,22736,-0.005462646484375,bbb30000,-0.005462646484375,0.0,0.0,bbb30000,-0.005462646484375,0.0,0.0,0.0,0.0,True
