1 1 0 19f3 07 60d80529ed4d 0000 0f 0f 000000000000 f f
0 1 1 6861 08 0a24ca7c82c4 328d 08 0b 35540a9f0e52 e 0
0 1 1 95c0 08 6a50828862c1 4001 0a 0a 0ca08000e032 f f
0 1 1 5508 08 49404531a20a d024 0a 0a 443000016100 f f
0 1 1 18c8 08 492894258619 69d4 09 09 299212712141 f f
0 1 1 0cd3 07 7c7f9288ae61 9561 0a 0a 647442149001 f f
0 1 1 973e 07 7ca989f2a7ad 5660 09 09 0412e5048109 f f
0 1 1 38c8 07 949c30c70895 0441 0a 0a 00b0493080c2 f f
0 1 1 4d44 07 e403b9fc04ce 86f8 09 09 a0105825a420 f f
0 1 1 01a2 08 003091251ac8 a140 0a 0a 41a051292101 f f
0 1 1 0d24 08 801a8109166b 0684 0a 0a 0a0051814448 f f
0 1 1 a6c8 08 214090453252 9505 09 09 4da154001112 f f
0 1 1 b101 08 25f44151421a 0aa0 0a 0a 250290639240 f f
0 1 1 9342 07 6a55369982d0 c40c 0a 0a 300288040701 f f
0 1 1 344b 08 0d14534436d5 882a 09 09 900f0020c2d1 f f
0 1 1 8285 08 409088a8914a 922b 08 0b ac216a479509 f 0
0 1 1 75fb 08 5092da64ba11 1153 0a 0a 08104410104a f f
0 1 1 2718 08 0cc0d265d4c6 b177 09 09 411209069251 f f
0 1 1 5938 08 44a8041a28a8 8790 09 0b 5000aa481631 1 0
0 1 1 ebab 08 28a43261161a 040e 0a 0a 300081040249 f f
0 1 1 d315 08 49225c60a881 901d 0a 0a 805440001241 f f
0 1 1 4833 07 461d9684b475 e651 09 09 6d00487419cd f f
0 1 1 bf11 08 8cb6e9686211 406d 0a 0a 04b0010492ac f f
0 1 1 225c 07 32306a6cd29e 0c23 0a 0a 6484480c925d f f
0 1 1 5a9c 07 692210b0b470 91d7 09 09 a130c144b44a f f
0 1 1 0054 08 2051820834c1 5c1c 0a 0b 141343044518 a e
0 1 1 4810 07 8d1845122483 9e96 09 09 6e524820a361 f f
0 1 1 96d8 07 4954ad95146c 2410 0a 0a 0aa048401010 f f
0 1 1 0c49 08 2a8ccc081261 8242 0a 0a 200008090310 f f
0 1 1 80ce 08 84246a650453 1102 0a 0a 001601a0100a f f
0 1 1 c746 08 6c864d0430c8 c0c7 0a 0a e880482c104a f f
0 1 1 0016 08 2d12bd043489 74a8 0a 0a 849100209248 f f
0 1 1 0406 08 0c92c095828a dc1c 09 0b ad648124c5ca 2 0
0 1 1 02a4 08 44181d2950a0 4747 0a 0a 0402490b0049 f f
0 1 1 6eed 08 46a71d6c92dc 8440 0a 0a 230149080640 f f
0 1 1 e081 08 2d52c14010da 2280 0a 0a 812258410101 f f
0 1 1 61a7 08 5e344944e0a4 47d8 0a 0a 6422aa24b211 f f
